ID,평균기온(°C),일강수량(mm),최대 순간 풍속(m/s),최대 순간 풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 상대습도(%),평균 증기압(hPa),평균 현지기압(hPa),평균 지면온도(°C),성산1호기(초 당 m),호기,평균
2018-01-01,4.8,0.0,9.2,360,1246,4.5,340,1034,55.0,4.7,1025.0,4.2,7.3,1.0,3328.0
2018-01-02,6.1,0.0,8.9,340,1453,4.8,360,1438,51.9,4.9,1026.0,3.7,5.0,1.0,1218.0
2018-01-03,4.2,0.0,12.1,340,1423,6.9,290,1432,58.1,4.8,1026.4,4.8,10.8,1.0,8028.0
2018-01-04,3.2,0.4,10.9,360,909,4.6,320,1322,67.3,5.2,1022.3,3.6,9.0,1.0,5613.0
2018-01-05,4.1,2.2,10.6,290,1645,5.8,290,859,71.0,5.8,1017.9,3.0,8.6,1.0,5798.0
2018-01-06,5.1,0.0,11.7,360,1536,5.8,290,252,59.4,5.2,1020.2,3.9,8.9,1.0,5879.0
2018-01-07,8.6,4.5,8.1,110,1854,5.4,110,1912,71.6,8.1,1016.8,6.2,3.6,1.0,764.0
2018-01-08,8.5,7.4,12.2,290,1525,8.2,290,1526,83.5,9.6,1009.0,8.4,6.6,1.0,3760.0
2018-01-09,3.4,0.3,14.2,270,1149,7.9,290,1612,62.5,4.9,1014.6,2.6,10.3,1.0,7834.0
2018-01-10,1.6,5.3,16.3,270,1309,9.7,290,1456,65.9,4.5,1017.8,1.6,10.8,1.0,8695.0
2018-01-11,-2.2,21.3,11.9,290,21,7.1,290,33,87.1,4.5,1024.3,-0.1,8.5,1.0,5581.0
2018-01-12,-1.1,6.7,10.4,290,1101,4.8,290,1109,75.0,4.2,1028.5,0.2,7.6,1.0,4213.0
2018-01-13,2.1,0.0,7.5,270,1404,4.3,290,1411,70.6,5.0,1030.2,0.3,4.1,1.0,663.0
2018-01-14,5.7,2.2,7.4,270,2321,4.2,290,2324,72.5,6.7,1026.6,0.2,3.2,1.0,90.0
2018-01-15,9.4,0.2,5.9,270,353,4.3,250,355,75.6,8.8,1022.0,5.5,4.3,1.0,1067.0
2018-01-16,13.0,40.9,11.3,160,1449,6.6,200,1457,90.9,13.6,1013.6,10.6,6.3,1.0,2277.0
